name,slug,symbol,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
Motocoin,motocoin,MOTO,2018-11-29,1221,0.101955,0.119819,0.101955,0.102104,224707.0,2005595.0,1.0,0.09
Moving Cloud Coin,moving-cloud-coin,MCC,2018-11-29,1835,0.120274,0.142695,0.098909,0.126286,5935810.0,0.0,1.0,0.11
Musicoin,musicoin,MUSIC,2018-11-29,641,0.115779,0.1256,0.102947,0.116316,11212200.0,63739600.0,1.0,0.05
Musiconomi,musiconomi,MCI,2018-11-29,1433,0.24842,0.425933,0.178319,0.253572,43682.0,1275312.0,1.0,0.36
MustangCoin,mustangcoin,MST,2018-11-29,1690,1.1,1.55,0.73731,1.09,87568.0,686633.0,1.0,1.25
MyBit,mybit,MYB,2018-11-29,834,14.34,17.87,12.48,14.53,2239160.0,40672470.0,1.0,11.61
MyToken,mytoken,MT,2018-11-29,1822,0.037409,0.038057,0.035818,0.037457,57996200.0,0.0,1.0,0.01
MyWish,mywish,WISH,2018-11-29,909,2.22,3.01,1.69,2.19,1145220.0,39154450.0,1.0,1.42
Myriad,myriad,XMY,2018-11-29,509,0.059639,0.061245,0.040876,0.058199,14257500.0,89769807.0,1.0,0.04
Mysterium,mysterium,MYST,2018-11-29,611,4.33,5.65,3.52,3.67,39682500.0,71301605.0,1.0,2.13
NAGA,naga,NGC,2018-11-29,289,3.43,4.33,2.71,3.66,12809400.0,169891750.0,1.0,2.21
NAM COIN,nam-coin,NAM,2018-11-29,1955,0.001354,0.001368,0.001296,0.001353,272331.0,0.0,1.0,0.0
NANJCOIN,nanjcoin,NANJ,2018-11-29,444,0.004347,0.004781,0.003872,0.004345,10116400.0,82276994.0,1.0,0.0
NEM,nem,XEM,2018-11-29,15,1.84,2.09,1.63,1.84,332371008.0,16584479998.0,1.0,0.67
NEO,neo,NEO,2018-11-29,17,187.97,196.85,151.46,187.4,1664429952.0,12181325000.0,1.0,83.68
NEO GOLD,neo-gold,NEOG,2018-11-29,2012,0.059498,0.09294,0.039731,0.059556,801984.0,0.0,1.0,0.06
NEVERDIE,neverdie,NDC,2018-11-29,1055,0.315254,0.371125,0.2472,0.301906,53135.0,12379384.0,1.0,0.13
NIX,nix,NIX,2018-11-29,251,0.58909,0.77641,0.530223,0.587846,787880.0,24568684.0,0.9986,0.54
NKN,nkn,NKN,2018-11-29,417,0.514607,0.545913,0.46836,0.514666,18127500.0,73595513.0,1.0,0.13
NPER,nper,NPER,2018-11-29,796,0.339853,0.387916,0.270175,0.33581,4371660.0,15404830.0,1.0,0.12
NaPoleonX,napoleonx,NPX,2018-11-29,355,0.562356,0.605222,0.463717,0.564448,1199400.0,14297468.0,1.0,0.21
Namecoin,namecoin,NMC,2018-11-29,371,11.98,16.3,9.75,11.6,18552400.0,108055095.0,1.0,9.51
Nano,nano,NANO,2018-11-29,39,33.45,37.62,29.63,33.7,396790016.0,4490773818.0,1.0,15.16
Narrative,narrative,NRVE,2018-11-29,935,0.072418,0.072945,0.043459,0.072387,507369.0,2115834.0,1.0,0.05
Nasdacoin,nasdacoin,NSD,2018-11-29,117,4.36,4.97,2.83,4.39,1326730.0,81513170.0,1.0,2.47
NavCoin,nav-coin,NAV,2018-11-29,232,4.79,5.53,3.99,4.73,52815900.0,294477280.0,1.0,1.68
Naviaddress,naviaddress,NAVI,2018-11-29,983,0.023801,0.026202,0.023012,0.024099,194240.0,8115665.0,1.0,0.01
Neblio,neblio,NEBL,2018-11-29,185,45.34,64.87,40.38,44.68,310931008.0,567614300.0,1.0,27.71
Nebula AI,nebula-ai,NBAI,2018-11-29,1228,0.020552,0.115263,0.016272,0.01947,286474.0,15202909.0,1.0,0.1
Nebulas,nebulas-token,NAS,2018-11-29,105,16.27,16.64,12.87,16.24,87955200.0,576679750.0,1.0,5.38
Nectar,nectar,NEC,2018-11-29,132,0.573832,0.575364,0.565092,0.57312,1548800.0,47198164.0,1.0,0.22
Nekonium,nekonium,NUKO,2018-11-29,1652,0.642861,1.37,0.51698,0.614362,76721.0,5490952.0,1.0,0.85
NeosCoin,neoscoin,NEOS,2018-11-29,848,18.14,19.43,14.62,18.05,20457800.0,65603628.0,1.0,11.89
Nerva,nerva,XNV,2018-11-29,1915,0.235252,0.360536,0.211146,0.234347,100802.0,0.0,0.9645,0.17
Nerves,nerves,NER,2018-11-29,1312,0.001404,0.00143,0.001299,0.001402,5381530.0,6628946.0,1.0,0.0
NetKoin,netkoin,NTK,2018-11-29,1105,0.00016,0.000199,0.000115,0.000161,269704.0,607992.0,1.0,0.0
Netko,netko,NETKO,2018-11-29,1494,0.949228,0.962807,0.667628,0.951819,136715.0,4345948.0,1.0,0.73
Neumark,neumark,NEU,2018-11-29,296,2.47,2.6,2.22,2.46,1118960.0,70629896.0,1.0,1.2
Neural Protocol,neural-protocol,NRP,2018-11-29,1132,2.6e-05,3.2e-05,2.3e-05,2.5e-05,216854.0,184971.0,1.0,0.0
Neuro,neuro,NRO,2018-11-29,1698,0.032349,0.063958,0.023998,0.032349,206918.0,902641.0,1.0,0.06
